person_id,id,name,role,character
1171764,tm190788,Gerard F. Yates,Actor,Priest Singing Around Piano at Party (uncredited)
144247,tm324278,Carl Cox,Actor,N/A
11472,ts45948,Graham Chapman,Actor,Various Characters
1171814,tm190788,Beatrice Hunter,Actor,Minor Role (uncredited)
26770,tm69778,Ichirō Nagai,Actor,Jodo (voice)
22352,tm119281,Russ Marker,Actor,Bank Guard (uncredited)
74261,ts93981,Irene Azuela,Actor,N/A
538123,tm14350,Youssef Wahby,Actor,Souril
82698,tm142881,Quddus,Actor,VJ
540702,tm19608,Abdel Warith Assir,Actor,Sabir
536986,tm102287,Zouzou Hamdy El-Hakim,Actor,Sekina
44085,tm14873,James Nolan,Actor,Liquor Proprietor
810370,tm471878,Figueira Cid,Actor,N/A
1195449,tm827640,Bizzy,Actor,Self
976111,tm127384,Sandy Rose,Actor,Girl in Castle Anthrax
